Date,HPI
Mar-17,6591.26
Jun-17,6473.43
Sep-17,6222.96
Dec-17,6415.44
Mar-18,6821.36
Jun-18,6858.11
Sep-18,7383.22
Dec-18,7603.6
Mar-19,7953.09
Jun-19,8329.89
Sep-19,8905.43
Dec-19,9181.48
Mar-20,9159.94
Jun-20,9065.82
Sep-20,9168.59
Dec-20,9161.12
Mar-21,9514.18
Jun-21,9714.08
Sep-21,9767.17
Dec-21,9933.94
Mar-22,10115.06
Jun-22,10460.66
Sep-22,10804.42
Dec-22,11264.88
Mar-23,11816.94
Jun-23,12412.83
Sep-23,13028.56
Dec-23,13731.15
Mar-24,14801.61
Jun-24,15705.9
Sep-24,16661.59
Dec-24,17755.45
Mar-25,18027.6
